ID,Timestamp,Gender,Semester,Student_Dept,Complaint_Description,Category,Responsible_Departments,Primary_Department,Aspects,Severity,Complaint_Group_ID
1,2026-02-09 12:18:58.314,Male,4.1,IPE,"On most parts of the 8th/9th floor, WiFi is not available at all.",Technical,IT,IT,WiFi | Lab Equipment,Urgent,0
4,2026-02-09 12:28:16.321,Female,4.1,CSE,need a seperate female prayer room which is not just a sub portion of female common room,Infrastructure,Student Welfare | Administration | Maintenance,Student Welfare,Classroom | Prayer Room,Medium,3
5,2026-02-09 12:29:14.893,Male,4.1,CSE,drinking water system on the 6th floor(CSE dpt) is no longer working.,Infrastructure,Maintenance,Maintenance,Water Supply,Urgent,4
6,2026-02-09 12:29:14.893,Male,4.1,CSE,Some projectors are not clear,Infrastructure,IT | Maintenance,IT,Projector,High,5
8,2026-02-09 12:34:20.678,Male,2.1,CSE,Campus WiFi does not work in all areas and is also very slow.,Technical,IT,IT,WiFi,Urgent,7
9,2026-02-09 12:36:56.431,Female,4.1,CSE,"Due to continuous loud talking by some students in the library, it has become very difficult to study and maintain concentration",Administrative,Library | Proctorial,Library,Library | Safety/Discipline,Medium,8
10,2026-02-09 12:34:20.678,Male,2.1,CSE,We can never find our adviser,Academic,Department Head,Department Head,Faculty,High,9
11,2026-02-09 12:54:14.743,Male,4.1,CSE,No hand wash in most of the washrooms,Infrastructure,Maintenance,Maintenance,Washroom | Classroom,Urgent,10
12,2026-02-09 12:42:12.499,Female,4.1,CSE,"Because of the long line for the lift, it becomes difficult to attend classes on time",Infrastructure,Maintenance | Administration,Maintenance,Elevator,Medium,11
13,2026-02-09 12:42:29.396,Female,2.1,CSE,I have complain regarding the routing system of the bus.... Students go through a lot of problems to track location of the bus during arrival and departure . We know we have a msngr group where sometimes update is given but sometimes there is no update so it's a hassle... I would be better if and app system is give to know about the location of the bus upon arrival and departure. As during departure the bus doesn't always remain in same place as a result students get confused,Technical,Transport & Parking | IT,Transport & Parking,Electrical/AC | Examination | Transport,Medium,12
15,2026-02-09 12:54:14.743,Male,4.1,CSE,zero Wifi facilities in peak hour,Technical,IT,IT,WiFi | Electrical/AC | Research,Urgent,14
16,2026-02-09 12:54:14.743,Male,4.1,CSE,Inadequate Charging ports in library /reading room,Infrastructure,Library | IT,Library,Classroom | Library,Medium,15
19,2026-02-09 13:12:11.395,Male,4.2,CSE,The classroom projectors doesnt work well,Technical,IT,IT,Projector | Classroom,Urgent,18
20,2026-02-09 13:12:11.395,Male,4.2,CSE,CSE Dept doesnt have qualified teachers,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty,High,19
21,2026-02-09 13:12:11.395,Male,4.2,CSE,We need more research facilities in our university and also we need more experienced professors,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty | Research,High,20
23,2026-02-09 13:12:11.395,Male,4.2,CSE,CSE Dept doesnt have qualified teachers,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty,High,19
24,2026-02-09 13:12:11.395,Male,4.2,CSE,We need more research facilities in our university and also we need more experienced professors,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty | Research,High,20
25,2026-02-09 13:20:41.427,Female,2.1,CSE,Campus Wi-Fi speed and coverage are insufficient; the signal does not reach inside classrooms.,Technical,IT,IT,WiFi | Electrical/AC | Classroom,Urgent,21
27,2026-02-09 13:20:41.427,Female,2.1,CSE,"Projectors have poor resolution and do not display colors properly, which causes issues in several lectures.",Technical,IT,IT,Projector,High,23
28,2026-02-09 13:20:41.427,Female,2.1,CSE,"Classroom lights and ACs are not properly maintained; some are faulty, and there appears to be little concern regarding timely repairs.",Infrastructure,Maintenance,Maintenance,Electrical/AC | Classroom,Urgent,24
29,2026-02-09 13:20:41.427,Female,2.1,CSE,"HDMI cables in theory classrooms are mostly faulty, causing inconvenience for faculty members and resulting in loss of lecture time.",Technical,IT,IT,Electrical/AC | Classroom | Examination | Faculty,High,25
30,2026-02-09 13:20:41.427,Female,2.1,CSE,Library and study room spaces are insufficient and remain overcrowded during peak hours.,Administrative,Library | Administration,Library,Electrical/AC | Classroom | Library,Medium,26
36,2026-02-09 13:40:27.317,Male,4.1,CSE,"When student occupancy in the library increases, the Wi-Fi connection becomes very slow and frequently disconnects. This severely disrupts academic activities, research work,and online learning, making the library ineffective as a study environment during peak hours.",Infrastructure,IT | Library,IT,WiFi | Electrical/AC | Library | Research,Urgent,32
37,2026-02-09 13:40:27.317,Male,4.1,CSE,A studentship certificate costs a student 500taka which should be of free from the versity as a current student of the institute.,Finance,Registrar | Finance,Registrar,General,Medium,33
38,2026-02-09 14:16:37.763,Female,2.2,CSE,Every floor should have separate male and female washrooms.,Infrastructure,Maintenance,Maintenance,Washroom | Classroom,High,34
40,2026-02-09 14:40:47.082,Male,4.1,CSE,"Just like there is a space for prayer in front of the Mechanical Department, a similar space should be provided in front of almost every department for prayers.",Administrative,Student Welfare | Administration,Student Welfare,Electrical/AC | Prayer Room,Medium,36
41,2026-02-09 14:40:47.082,Male,4.1,CSE,It would be good if there is a bKash or Nagad merchant available inside the university.,Finance,Finance | Administration,Finance,Lab Equipment | Fee/Payment,Low,37
43,2026-02-09 18:14:46.217,Female,2.1,CSE,"Pressure is applied to participate in co-curricular activities by seniors, even if students are unwilling or facing problems.",Administrative,Proctorial | Student Welfare,Proctorial,Electrical/AC,High,39
44,2026-02-09 18:19:19.408,Male,1.2,CSE,The 7th floor (6 of lift) does not have Wi-Fi routers. Thus the Wi-Fi connection disappears when a student enters a classroom in the 7th floor. This is extremely inconvenient as it can cause a student to miss their attendance in their class for the lack of internet connectivity despite being present in the class.,Technical,IT,IT,WiFi | Elevator | Electrical/AC | Classroom | Transport,Urgent,40
46,2026-02-09 18:36:30.907,Male,1.2,EEE,There is no proper wifi in campus. We should be provided with a working campus wifi,Technical,IT,IT,WiFi,Urgent,42
47,2026-02-09 19:11:33.438,Male,3.2,EEE,The routine does not allocate time for prayers and lunch.,Academic,Department Head | Examination,Department Head,Prayer Room | Scheduling,Medium,43
51,2026-02-09 20:31:33.240,Male,1.2,CSE,Plaster dust is falling from the classroom wall.,Infrastructure,Maintenance,Maintenance,Classroom,Urgent,47
52,2026-02-09 20:31:33.240,Male,1.2,CSE,"Some labs do not have sufficient equipment, and in many cases, the equipment does not work properly.",Technical,Department Head | IT,Department Head,Lab Equipment,Urgent,48
53,2026-02-09 20:31:33.240,Male,1.2,CSE,"Besides, the Wi-Fi does not function well across the entire campus.",Technical,IT,IT,WiFi | Electrical/AC,Urgent,49
54,2026-02-09 20:31:33.240,Male,1.2,CSE,Faculties whose voices cannot be heard loudly or find it difficult to speak loudly in large classrooms should use personal headset microphones for their ease as well as ours.,Technical,Department Head | IT,Department Head,Electrical/AC | Classroom,Medium,50
57,2026-02-09 20:37:47.000,Male,4.1,CSE,"The transparent glass of washroom windows should be replaced with non-transparent glass, especially in lower floors, as it is a matter of privacy.",Infrastructure,Maintenance | Proctorial,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,53
60,2026-02-09 21:03:57.354,Female,2.2,CSE,The size for the teacup in the cafeteria should be larger.,Administrative,Canteen | Student Welfare,Canteen,Electrical/AC | Canteen,Low,56
62,2026-02-09 21:03:57.354,Female,2.2,CSE,"The ShaPa day should be organized every semester within 2-3 weeks after midterm exams. ShaPa being in the last week of the semester amidst lab finals and quizzes is not student friendly. Furthermore, if ShaPa is organized within 8th-10th week this semester, then it can be during the spring season i.e. before the unpredictable heat and rain of the summer season starts. The date of the day should also be fixed right after midterm exams so that students can organize their quizzes around that date.",Academic,Student Welfare | Examination,Student Welfare,Lab Equipment | Examination,Medium,58
63,2026-02-09 21:03:57.354,Female,2.2,CSE,"In the CSE 1206 course, classes are frequently ended significantly earlier than the allocated time.",Academic,Department Head,Department Head,General,High,59
64,2026-02-09 21:03:57.354,Female,2.2,CSE,"The round tube lights in the university, especially those in the washrooms and on the Architecture stairs, should be repaired or replaced with new ones.",Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,60
65,2026-02-09 21:03:57.354,Female,2.2,CSE,The exhaust fans in the washrooms and other areas should be repaired or replaced with new ones.,Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,61
66,2026-02-09 21:03:57.354,Female,2.2,CSE,"Due to server problems in the IUMS system, I was unable to check my result on the publication day and had to wait until the next day",Technical,IT,IT,Examination,Urgent,62
67,2026-02-09 21:47:59.674,Female,2.1,CSE,The group members for group projects should be selected by the teachers. The students with no groups have to suffer,Academic,Department Head,Department Head,Electrical/AC | Faculty,Medium,63
68,2026-02-11 16:30:03.822,Female,4.1,EEE,Some boys think they can talk in whatever way they want with the girls .,Administrative,Proctorial | Counseling,Proctorial,General,Urgent,64
70,2026-02-11 18:54:59.393,Female,4.1,CSE,"I am dissatisfied because students are required to pay substantial fees by the organizer, even if they do not take part in the event.",Finance,Student Welfare | Finance,Student Welfare,Fee/Payment,High,66
71,2026-02-11 19:01:06.264,Female,4.1,CSE,Forming groups ourselves often leads to conflicts. It would be better if the teacher assigned the groups first to avoid any problems.,Academic,Department Head,Department Head,Electrical/AC | Faculty,Medium,67
72,2026-02-11 19:03:13.329,Female,4.1,CSE,"It is difficult to evaluate students fairly when quizzes have uneven difficulty levels, with some sets being hard and others easy.",Academic,Department Head | Examination,Department Head,Examination,High,68
73,2026-02-11 19:09:49.959,Female,4.1,CSE,"It feels unfair that students with access to alternative sections or materials can perform better in quizzes, while others without these resources struggle.",Academic,Department Head,Department Head,Electrical/AC | Fee/Payment | Examination,High,69
75,2026-02-09 12:18:58.314,Male,4.1,IPE,"On most parts of the 8th/9th floor, WiFi is missing at all.",Technical,IT,IT,WiFi,Urgent,0
76,2026-02-09 12:19:25.612,Male,1.2,CSE,out of focus Projectors.,Infrastructure,IT | Maintenance,IT,Projector,High,71
77,2026-02-09 12:28:16.321,Female,4.1,CSE,are in need of bookshelf in female prayer room. This is affecting regular activities.,Infrastructure,Maintenance | Student Welfare,Maintenance,Electrical/AC | Classroom | Library | Prayer Room,Low,72
78,2026-02-09 12:28:16.321,Female,4.1,CSE,are in need of a seperate female prayer room which is not just a sub portion of female common room. Please look into it.,Infrastructure,Student Welfare | Administration | Maintenance,Student Welfare,Classroom | Prayer Room,Medium,3
79,2026-02-09 12:29:14.893,Male,4.1,CSE,drinking water system on the 6th floor(CSE dpt) is no longer working. Kindly verify and take action.,Infrastructure,Maintenance,Maintenance,Water Supply | Electrical/AC,Urgent,4
80,2026-02-09 12:29:14.893,Male,4.1,CSE,Some projectors are not clear. Would appreciate a resolution soon.,Infrastructure,IT | Maintenance,IT,Projector,High,73
82,2026-02-09 12:34:20.678,Male,2.1,CSE,Campus WiFi does not work in all areas and is also very slow. Please look into it.,Technical,IT,IT,WiFi,Urgent,7
83,2026-02-09 12:36:56.431,Female,4.1,CSE,"Due to continuous loud talking by some students at the library, it has become very difficult to study and maintain concentration. Please look into it.",Administrative,Library | Proctorial,Library,Library | Safety/Discipline,Medium,8
84,2026-02-09 12:34:20.678,Male,2.1,CSE,We can never find our adviser.,Academic,Department Head,Department Head,Faculty,High,9
85,2026-02-09 12:54:14.743,Male,4.1,CSE,No hand wash in most of the washrooms. This is affecting regular activities.,Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,74
86,2026-02-09 12:42:12.499,Female,4.1,CSE,"Because of the long line for the lift, it becomes difficult to attend classes on time. Please look into it.",Infrastructure,Maintenance | Administration,Maintenance,Elevator,Medium,11
87,2026-02-09 12:42:29.396,Female,2.1,CSE,I have complain regarding the routing system of the bus.... Students go through a lot of problems to track location of the bus during arrival and departure . We know we have a msngr group where sometimes update is given but sometimes there is no update so it's a hassle... I would be better if and app system is give to know about the location of the bus upon arrival and departure. As during departure the bus doesn't always remain in same place as a result students get confused.,Technical,Transport & Parking | IT,Transport & Parking,Electrical/AC | Examination | Transport,Medium,12
89,2026-02-09 12:54:14.743,Male,4.1,CSE,zero Wifi facilities in peak hour. This is affecting regular activities.,Technical,IT,IT,WiFi | Electrical/AC | Research,Urgent,75
90,2026-02-09 12:54:14.743,Male,4.1,CSE,Inadequate Charging ports in library /reading room. Kindly verify and take action.,Infrastructure,Library | IT,Library,Electrical/AC | Classroom | Library,Medium,76
93,2026-02-09 13:12:11.395,Male,4.2,CSE,The classroom projectors doesnt work well. Needs attention.,Technical,IT,IT,Projector | Classroom,Urgent,18
94,2026-02-09 13:12:11.395,Male,4.2,CSE,CSE Dept doesnt have qualified teachers. Please look into it.,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty,High,77
95,2026-02-09 13:12:11.395,Male,4.2,CSE,We would benefit from more research facilities in our university and also we would benefit from more experienced professors.,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty | Research,High,20
96,2026-02-09 13:12:11.395,Male,4.2,CSE,The campus wifi disconnects repeatedly and doesnt have enough speed while doing any important work.. Requesting a quick check.,Technical,IT,IT,WiFi,Urgent,78
97,2026-02-09 13:12:11.395,Male,4.2,CSE,CSE Dept doesnt have qualified teachers.,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty,High,19
98,2026-02-09 13:12:11.395,Male,4.2,CSE,We require more research facilities in our university and also we require more experienced professors.,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty | Research,High,20
99,2026-02-09 13:20:41.427,Female,2.1,CSE,Campus Wi-Fi speed and coverage are insufficient; the signal does not reach inside classrooms. Needs attention.,Technical,IT,IT,WiFi | Electrical/AC | Classroom,Urgent,21
101,2026-02-09 13:20:41.427,Female,2.1,CSE,"Projectors have subpar resolution and do not display colors properly, which causes issues in several lectures.",Technical,IT,IT,Projector,High,23
102,2026-02-09 13:20:41.427,Female,2.1,CSE,"Classroom lights and ACs are not properly maintained; some are faulty, and there appears to be little concern regarding timely repairs. Please look into it.",Infrastructure,Maintenance,Maintenance,Electrical/AC | Classroom,Urgent,24
103,2026-02-09 13:20:41.427,Female,2.1,CSE,"HDMI cables in theory classrooms are mostly faulty, causing inconvenience for faculty members and resulting in loss of lecture time. Please look into it.",Technical,IT,IT,Electrical/AC | Classroom | Examination | Faculty,High,25
104,2026-02-09 13:20:41.427,Female,2.1,CSE,Library and study room spaces are insufficient and remain overcrowded during peak hours. This is affecting regular activities.,Administrative,Library | Administration,Library,Electrical/AC | Classroom | Library,Medium,26
107,2026-02-09 13:34:16.838,Female,1.2,CSE,More female washrooms would be really appreciated. Requesting a quick check.,Infrastructure,Maintenance | Administration,Maintenance,Washroom | Classroom,Medium,79
110,2026-02-09 13:40:27.317,Male,4.1,CSE,"When student occupancy at the library increases, the Wi-Fi connection becomes very slow and frequently disconnects. This severely disrupts academic activities, research work,and online learning, making the library ineffective as a study environment during peak hours. Kindly verify and take action.",Infrastructure,IT | Library,IT,WiFi | Electrical/AC | Library | Research,Urgent,32
111,2026-02-09 13:40:27.317,Male,4.1,CSE,A studentship certificate costs a student 500taka which should be of free from the versity as a current student of the institute. This is affecting regular activities.,Finance,Registrar | Finance,Registrar,Electrical/AC,Medium,33
112,2026-02-09 14:16:37.763,Female,2.2,CSE,Every floor should have separate male and female washrooms. This is affecting regular activities.,Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,High,80
114,2026-02-09 14:40:47.082,Male,4.1,CSE,"Just like there is a space for prayer in front of the Mechanical Department, a similar space should be provided in front of almost every department for prayers. Requesting a quick check.",Administrative,Student Welfare | Administration,Student Welfare,Electrical/AC | Prayer Room,Medium,36
115,2026-02-09 14:40:47.082,Male,4.1,CSE,It would be good if there is a bKash or Nagad merchant in service inside the university.,Finance,Finance | Administration,Finance,Fee/Payment,Low,37
116,2026-02-09 14:40:47.082,Male,4.1,CSE,Most of the computers at the labs have problems; they should be fixed. Kindly verify and take action.,Technical,IT,IT,Lab Equipment | Electrical/AC,Urgent,81
117,2026-02-09 18:14:46.217,Female,2.1,CSE,"Pressure is applied to participate in co-curricular activities by seniors, even if students are unwilling or facing problems. Needs attention.",Administrative,Proctorial | Student Welfare,Proctorial,Electrical/AC,High,39
118,2026-02-09 18:19:19.408,Male,1.2,CSE,The 7th floor (6 of lift) does not have Wi-Fi routers. Thus the Wi-Fi connection disappears when a student enters a classroom at the 7th floor. This is extremely inconvenient as it can cause a student to miss their attendance in their class for the lack of internet connectivity despite being present at the class. Requesting a quick check.,Technical,IT,IT,WiFi | Elevator | Electrical/AC | Classroom | Transport,Urgent,40
119,2026-02-09 18:23:07.254,Male,3.1,CSE,AC's don't work properly. Would appreciate a resolution soon.,Infrastructure,Maintenance,Maintenance,Electrical/AC,Urgent,82
120,2026-02-09 18:36:30.907,Male,1.2,EEE,There is no proper wifi in campus. We should be provided with a working campus wifi. Would appreciate a resolution soon.,Technical,IT,IT,WiFi,Urgent,42
121,2026-02-09 19:11:33.438,Male,3.2,EEE,The routine does not allocate time for prayers and lunch. Please look into it.,Academic,Department Head | Examination,Department Head,Prayer Room | Scheduling,Medium,43
124,2026-02-09 20:31:33.240,Male,1.2,CSE,The floor of the classroom is not clean. Kindly verify and take action.,Infrastructure,Maintenance,Maintenance,Electrical/AC | Classroom,Medium,83
125,2026-02-09 20:31:33.240,Male,1.2,CSE,Plaster dust is falling from the classroom wall. Please look into it.,Infrastructure,Maintenance,Maintenance,Classroom,Urgent,47
