ID,Timestamp,Gender,Semester,Student_Dept,Complaint_Description,Category,Responsible_Departments,Primary_Department,Aspects,Severity,Complaint_Group_ID
126,2026-02-09 20:31:33.240,Male,1.2,CSE,"Some labs do not have sufficient equipment, and in many cases, the equipment does not work properly. This is affecting regular activities.",Technical,Department Head | IT,Department Head,Lab Equipment | Electrical/AC,Urgent,48
127,2026-02-09 20:31:33.240,Male,1.2,CSE,"Besides, the Wi-Fi does not function well across the entire campus. Needs attention.",Technical,IT,IT,WiFi | Electrical/AC,Urgent,49
128,2026-02-09 20:31:33.240,Male,1.2,CSE,Faculties whose voices cannot be heard loudly or find it difficult to speak loudly in large classrooms should use personal headset microphones for their ease as well as ours. Kindly verify and take action.,Technical,Department Head | IT,Department Head,Electrical/AC | Classroom,Medium,50
131,2026-02-09 20:37:47.000,Male,4.1,CSE,"The transparent glass of washroom windows should be replaced with non-transparent glass, especially in lower floors, as it is a matter of privacy. Kindly verify and take action.",Infrastructure,Maintenance | Proctorial,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,53
134,2026-02-09 21:03:57.354,Female,2.2,CSE,The size for the teacup at the cafeteria should be larger.,Administrative,Canteen | Student Welfare,Canteen,Electrical/AC | Canteen,Low,56
136,2026-02-09 21:03:57.354,Female,2.2,CSE,"The ShaPa day should be organized every semester within 2-3 weeks after midterm exams. ShaPa being at the last week of the semester amidst lab finals and quizzes is not student friendly. Furthermore, if ShaPa is organized within 8th-10th week this semester, then it can be during the spring season i.e. before the unpredictable heat and rain of the summer season starts. The date of the day should also be fixed right after midterm exams so that students can organize their quizzes around that date.",Academic,Student Welfare | Examination,Student Welfare,Lab Equipment | Examination,Medium,58
137,2026-02-09 21:03:57.354,Female,2.2,CSE,"at the CSE 1206 course, classes are frequently ended significantly earlier than the allocated time. Requesting a quick check.",Academic,Department Head,Department Head,General,High,59
138,2026-02-09 21:03:57.354,Female,2.2,CSE,"The round tube lights at the university, especially those at the washrooms and on the Architecture stairs, should be repaired or replaced with new ones. Requesting a quick check.",Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,60
139,2026-02-09 21:03:57.354,Female,2.2,CSE,The exhaust fans at the washrooms and other areas should be repaired or replaced with new ones.,Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,61
140,2026-02-09 21:03:57.354,Female,2.2,CSE,"Due to server problems at the IUMS system, I was unable to check my result on the publication day and had to wait until the next day. Please look into it.",Technical,IT,IT,Examination,Urgent,62
141,2026-02-09 21:47:59.674,Female,2.1,CSE,The group members for group projects should be selected by the teachers. The students with no groups have to suffer. This is affecting regular activities.,Academic,Department Head,Department Head,Electrical/AC | Faculty,Medium,63
142,2026-02-11 16:30:03.822,Female,4.1,EEE,Some boys think they can talk in whatever way they want with the girls . This is affecting regular activities.,Administrative,Proctorial | Counseling,Proctorial,Electrical/AC,Urgent,84
143,2026-02-11 16:30:03.822,Female,4.1,EEE,The supervisor finding procedure for thesis is so frustrating. Would appreciate a resolution soon.,Academic,Department Head,Department Head,Faculty,High,85
144,2026-02-11 18:54:59.393,Female,4.1,CSE,"I am dissatisfied because students are required to pay substantial fees by the organizer, even if they do not take part in the event. Please look into it.",Finance,Student Welfare | Finance,Student Welfare,Fee/Payment,High,66
145,2026-02-11 19:01:06.264,Female,4.1,CSE,Forming groups ourselves regularly leads to conflicts. It would be better if the teacher assigned the groups first to avoid any problems. This is affecting regular activities.,Academic,Department Head,Department Head,Electrical/AC | Faculty,Medium,67
146,2026-02-11 19:03:13.329,Female,4.1,CSE,"It is difficult to evaluate students fairly when quizzes have uneven difficulty levels, with some sets being hard and others easy. Requesting a quick check.",Academic,Department Head | Examination,Department Head,Examination,High,68
147,2026-02-11 19:09:49.959,Female,4.1,CSE,"It feels unfair that students with access to alternative sections or materials can perform better in quizzes, while others without these resources struggle. Requesting a quick check.",Academic,Department Head,Department Head,Electrical/AC | Fee/Payment | Examination,High,69
149,2026-02-09 12:18:58.314,Male,4.1,IPE,"On most parts of the 8th/9th floor, WiFi is unavailable at all. Please look into it.",Technical,IT,IT,WiFi | Lab Equipment,Urgent,0
150,2026-02-09 12:19:25.612,Male,1.2,CSE,unclear Projectors. This is affecting regular activities.,Infrastructure,IT | Maintenance,IT,Projector | Electrical/AC,High,86
151,2026-02-09 12:28:16.321,Female,4.1,CSE,would benefit from bookshelf in female prayer room. Would appreciate a resolution soon.,Infrastructure,Maintenance | Student Welfare,Maintenance,Classroom | Library | Prayer Room,Low,87
152,2026-02-09 12:28:16.321,Female,4.1,CSE,are in need of a seperate female prayer room which is not just a sub portion of female common room. Kindly verify and take action.,Infrastructure,Student Welfare | Administration | Maintenance,Student Welfare,Electrical/AC | Classroom | Prayer Room,Medium,3
153,2026-02-09 12:29:14.893,Male,4.1,CSE,drinking water system on the 6th floor(CSE dpt) is no longer working. Requesting a quick check.,Infrastructure,Maintenance,Maintenance,Water Supply,Urgent,4
155,2026-02-09 12:29:14.893,Male,4.1,CSE,some computers in LAB is very very laggy (7B01-7B08). Requesting a quick check.,Technical,IT,IT,Lab Equipment,Urgent,89
156,2026-02-09 12:34:20.678,Male,2.1,CSE,Campus WiFi does not work in all areas and is also very slow. Would appreciate a resolution soon.,Technical,IT,IT,WiFi,Urgent,90
157,2026-02-09 12:36:56.431,Female,4.1,CSE,"Due to continuous loud talking by some students in the library, it has become very difficult to study and maintain concentration.",Administrative,Library | Proctorial,Library,Library | Safety/Discipline,Medium,8
158,2026-02-09 12:34:20.678,Male,2.1,CSE,We can never find our adviser. This is affecting regular activities.,Academic,Department Head,Department Head,Electrical/AC | Faculty,High,91
159,2026-02-09 12:54:14.743,Male,4.1,CSE,No hand wash in most of the washrooms.,Infrastructure,Maintenance,Maintenance,Washroom | Classroom,Urgent,10
160,2026-02-09 12:42:12.499,Female,4.1,CSE,"Because of the long line for the lift, it becomes difficult to attend classes on time. This is affecting regular activities.",Infrastructure,Maintenance | Administration,Maintenance,Elevator | Electrical/AC,Medium,11
161,2026-02-09 12:42:29.396,Female,2.1,CSE,I have complain regarding the routing system of the bus.... Students go through a lot of problems to track location of the bus during arrival and departure . We know we have a msngr group where sometimes update is given but sometimes there is no update so it's a hassle... I would be better if and app system is give to know about the location of the bus upon arrival and departure. As during departure the bus doesn't always remain in same place as a result students get confused. Would appreciate a resolution soon.,Technical,Transport & Parking | IT,Transport & Parking,Electrical/AC | Examination | Transport,Medium,12
163,2026-02-09 12:54:14.743,Male,4.1,CSE,zero Wifi facilities in peak hour. Would appreciate a resolution soon.,Technical,IT,IT,WiFi | Electrical/AC | Research,Urgent,92
164,2026-02-09 12:54:14.743,Male,4.1,CSE,Inadequate Charging ports in library /reading room.,Infrastructure,Library | IT,Library,Classroom | Library,Medium,15
168,2026-02-09 13:12:11.395,Male,4.2,CSE,CSE Dept doesnt have qualified teachers.,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty,High,19
169,2026-02-09 13:12:11.395,Male,4.2,CSE,We are in need of more research facilities in our university and also we are in need of more experienced professors.,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty | Research,High,20
171,2026-02-09 13:12:11.395,Male,4.2,CSE,CSE Dept doesnt have qualified teachers. Please look into it.,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty,High,77
172,2026-02-09 13:12:11.395,Male,4.2,CSE,We would benefit from more research facilities in our university and also we would benefit from more experienced professors.,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty | Research,High,20
173,2026-02-09 13:20:41.427,Female,2.1,CSE,Campus Wi-Fi speed and coverage are insufficient; the signal does not reach inside classrooms. Would appreciate a resolution soon.,Technical,IT,IT,WiFi | Electrical/AC | Classroom,Urgent,21
174,2026-02-09 13:20:41.427,Female,2.1,CSE,Whiteboards in theory classrooms are damaged. Please look into it.,Infrastructure,Maintenance,Maintenance,Classroom,High,94
175,2026-02-09 13:20:41.427,Female,2.1,CSE,"Projectors have inadequate resolution and do not display colors properly, which causes issues in several lectures. Please look into it.",Technical,IT,IT,Projector,High,23
176,2026-02-09 13:20:41.427,Female,2.1,CSE,"Classroom lights and ACs are not properly maintained; some are faulty, and there appears to be little concern regarding timely repairs. Kindly verify and take action.",Infrastructure,Maintenance,Maintenance,Electrical/AC | Classroom,Urgent,24
177,2026-02-09 13:20:41.427,Female,2.1,CSE,"HDMI cables in theory classrooms are mostly faulty, causing inconvenience for faculty members and resulting in loss of lecture time. Requesting a quick check.",Technical,IT,IT,Electrical/AC | Classroom | Examination | Faculty,High,25
178,2026-02-09 13:20:41.427,Female,2.1,CSE,Library and study room spaces are insufficient and remain overcrowded during peak hours. Kindly verify and take action.,Administrative,Library | Administration,Library,Electrical/AC | Classroom | Library,Medium,26
184,2026-02-09 13:40:27.317,Male,4.1,CSE,"When student occupancy in the library increases, the Wi-Fi connection becomes very slow and frequently disconnects. This severely disrupts academic activities, research work,and online learning, making the library ineffective as a study environment during peak hours. Requesting a quick check.",Infrastructure,IT | Library,IT,WiFi | Electrical/AC | Library | Research,Urgent,32
185,2026-02-09 13:40:27.317,Male,4.1,CSE,A studentship certificate costs a student 500taka which should be of free from the versity as a current student of the institute. Please look into it.,Finance,Registrar | Finance,Registrar,General,Medium,33
186,2026-02-09 14:16:37.763,Female,2.2,CSE,Every floor should have separate male and female washrooms. Kindly verify and take action.,Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,High,95
188,2026-02-09 14:40:47.082,Male,4.1,CSE,"Just like there is a space for prayer in front of the Mechanical Department, a similar space should be provided in front of almost every department for prayers. Please look into it.",Administrative,Student Welfare | Administration,Student Welfare,Electrical/AC | Prayer Room,Medium,36
189,2026-02-09 14:40:47.082,Male,4.1,CSE,It would be good if there is a bKash or Nagad merchant ready inside the university. Requesting a quick check.,Finance,Finance | Administration,Finance,Fee/Payment,Low,37
191,2026-02-09 18:14:46.217,Female,2.1,CSE,"Pressure is applied to participate in co-curricular activities by seniors, even if students are unwilling or facing problems. Would appreciate a resolution soon.",Administrative,Proctorial | Student Welfare,Proctorial,Electrical/AC,High,39
192,2026-02-09 18:19:19.408,Male,1.2,CSE,The 7th floor (6 of lift) does not have Wi-Fi routers. Thus the Wi-Fi connection disappears when a student enters a classroom at the 7th floor. This is extremely inconvenient as it can cause a student to miss their attendance in their class for the lack of internet connectivity despite being present at the class. Kindly verify and take action.,Technical,IT,IT,WiFi | Elevator | Electrical/AC | Classroom | Transport,Urgent,40
193,2026-02-09 18:23:07.254,Male,3.1,CSE,AC's don't work properly. Needs attention.,Infrastructure,Maintenance,Maintenance,Electrical/AC,Urgent,96
194,2026-02-09 18:36:30.907,Male,1.2,EEE,There is no proper wifi in campus. We should be provided with a working campus wifi. Kindly verify and take action.,Technical,IT,IT,WiFi | Electrical/AC,Urgent,42
195,2026-02-09 19:11:33.438,Male,3.2,EEE,The routine does not allocate time for prayers and lunch. This is affecting regular activities.,Academic,Department Head | Examination,Department Head,Electrical/AC | Prayer Room | Scheduling,Medium,97
196,2026-02-09 19:11:33.438,Male,3.2,CSE,The lab classes lack regular maintenance which hampers the studies. Would appreciate a resolution soon.,Technical,IT | Department Head,IT,Lab Equipment | Electrical/AC,High,98
200,2026-02-09 20:31:33.240,Male,1.2,CSE,"Some labs do not have sufficient equipment, and in many cases, the equipment does not work properly. Please look into it.",Technical,Department Head | IT,Department Head,Lab Equipment,Urgent,48
201,2026-02-09 20:31:33.240,Male,1.2,CSE,"Besides, the Wi-Fi does not function well across the entire campus. This is affecting regular activities.",Technical,IT,IT,WiFi | Electrical/AC,Urgent,101
202,2026-02-09 20:31:33.240,Male,1.2,CSE,Faculties whose voices cannot be heard loudly or find it difficult to speak loudly in large classrooms should use personal headset microphones for their ease as well as ours. Please look into it.,Technical,Department Head | IT,Department Head,Electrical/AC | Classroom,Medium,50
205,2026-02-09 20:37:47.000,Male,4.1,CSE,"The transparent glass of washroom windows should be replaced with non-transparent glass, especially in lower floors, as it is a matter of privacy. This is affecting regular activities.",Infrastructure,Maintenance | Proctorial,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,53
208,2026-02-09 21:03:57.354,Female,2.2,CSE,The size for the teacup in the cafeteria should be larger. Please look into it.,Administrative,Canteen | Student Welfare,Canteen,Electrical/AC | Canteen,Low,56
210,2026-02-09 21:03:57.354,Female,2.2,CSE,"The ShaPa day should be organized every semester within 2-3 weeks after midterm exams. ShaPa being at the last week of the semester amidst lab finals and quizzes is not student friendly. Furthermore, if ShaPa is organized within 8th-10th week this semester, then it can be during the spring season i.e. before the unpredictable heat and rain of the summer season starts. The date of the day should also be fixed right after midterm exams so that students can organize their quizzes around that date. Please look into it.",Academic,Student Welfare | Examination,Student Welfare,Lab Equipment | Examination,Medium,58
211,2026-02-09 21:03:57.354,Female,2.2,CSE,"at the CSE 1206 course, classes are frequently ended significantly earlier than the allocated time. This is affecting regular activities.",Academic,Department Head,Department Head,Electrical/AC,High,59
212,2026-02-09 21:03:57.354,Female,2.2,CSE,"The round tube lights at the university, especially those at the washrooms and on the Architecture stairs, should be repaired or replaced with new ones. Please look into it.",Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,60
213,2026-02-09 21:03:57.354,Female,2.2,CSE,The exhaust fans in the washrooms and other areas should be repaired or replaced with new ones. This is affecting regular activities.,Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,61
214,2026-02-09 21:03:57.354,Female,2.2,CSE,"Due to server problems in the IUMS system, I was unable to check my result on the publication day and had to wait until the next day. Kindly verify and take action.",Technical,IT,IT,Electrical/AC | Examination,Urgent,62
215,2026-02-09 21:47:59.674,Female,2.1,CSE,The group members for group projects should be selected by the teachers. The students with no groups have to suffer. Requesting a quick check.,Academic,Department Head,Department Head,Electrical/AC | Faculty,Medium,63
216,2026-02-11 16:30:03.822,Female,4.1,EEE,Some boys think they can talk in whatever way they want with the girls . Needs attention.,Administrative,Proctorial | Counseling,Proctorial,General,Urgent,64
218,2026-02-11 18:54:59.393,Female,4.1,CSE,"I am dissatisfied because students are required to pay substantial fees by the organizer, even if they do not take part at the event. Would appreciate a resolution soon.",Finance,Student Welfare | Finance,Student Welfare,Fee/Payment,High,66
219,2026-02-11 19:01:06.264,Female,4.1,CSE,Forming groups ourselves frequently leads to conflicts. It would be better if the teacher assigned the groups first to avoid any problems. Please look into it.,Academic,Department Head,Department Head,Electrical/AC | Faculty,Medium,67
220,2026-02-11 19:03:13.329,Female,4.1,CSE,"It is difficult to evaluate students fairly when quizzes have uneven difficulty levels, with some sets being hard and others easy. This is affecting regular activities.",Academic,Department Head | Examination,Department Head,Electrical/AC | Examination,High,68
221,2026-02-11 19:09:49.959,Female,4.1,CSE,"It feels unfair that students with access to alternative sections or materials can perform better in quizzes, while others without these resources struggle. Kindly verify and take action.",Academic,Department Head,Department Head,Electrical/AC | Fee/Payment | Examination,High,69
224,2026-02-09 12:19:25.612,Male,1.2,CSE,out of focus Projectors. This is affecting regular activities.,Infrastructure,IT | Maintenance,IT,Projector | Electrical/AC,High,86
225,2026-02-09 12:28:16.321,Female,4.1,CSE,require bookshelf in female prayer room. Kindly verify and take action.,Infrastructure,Maintenance | Student Welfare,Maintenance,Electrical/AC | Classroom | Library | Prayer Room,Low,105
226,2026-02-09 12:28:16.321,Female,4.1,CSE,require a seperate female prayer room which is not just a sub portion of female common room. Needs attention.,Infrastructure,Student Welfare | Administration | Maintenance,Student Welfare,Classroom | Prayer Room,Medium,3
227,2026-02-09 12:29:14.893,Male,4.1,CSE,drinking water system on the 6th floor(CSE dpt) is no longer working. Please look into it.,Infrastructure,Maintenance,Maintenance,Water Supply,Urgent,4
228,2026-02-09 12:29:14.893,Male,4.1,CSE,Some projectors are not clear. This is affecting regular activities.,Infrastructure,IT | Maintenance,IT,Projector | Electrical/AC,High,86
230,2026-02-09 12:34:20.678,Male,2.1,CSE,Campus WiFi does not work in all areas and is also very slow. This is affecting regular activities.,Technical,IT,IT,WiFi | Electrical/AC,Urgent,106
231,2026-02-09 12:36:56.431,Female,4.1,CSE,"Due to continuous loud talking by some students at the library, it has become very difficult to study and maintain concentration. Kindly verify and take action.",Administrative,Library | Proctorial,Library,Electrical/AC | Library | Safety/Discipline,Medium,8
232,2026-02-09 12:34:20.678,Male,2.1,CSE,We can never find our adviser. Please look into it.,Academic,Department Head,Department Head,Faculty,High,107
233,2026-02-09 12:54:14.743,Male,4.1,CSE,No hand wash in most of the washrooms. Please look into it.,Infrastructure,Maintenance,Maintenance,Washroom | Classroom,Urgent,108
234,2026-02-09 12:42:12.499,Female,4.1,CSE,"Because of the long line for the lift, it becomes difficult to attend classes on time.",Infrastructure,Maintenance | Administration,Maintenance,Elevator,Medium,11
